"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"2",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+2"
"3",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-2"
"4",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-2"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"7",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"8",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+4"
"9",2,"Justin Jefferson",MIN,"WR6","6","5 out of 5","2 out of 5","5 out of 5 stars","+4"
"10",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-3"
"11",2,"Drake London",ATL,"WR7","11","5 out of 5","2 out of 5","3 out of 5 stars","+6"
"12",3,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+9"
"13",3,"Nico Collins",HOU,"WR9","8","4 out of 5","3 out of 5","3 out of 5 stars","+13"
"14",3,"Ashton Jeanty",LV,"RB5","13","5 out of 5","2 out of 5","2 out of 5 stars","-3"
"15",3,"Chase Brown",CIN,"RB6","6","4 out of 5","2 out of 5","2 out of 5 stars","0"
"16",3,"James Cook III",BUF,"RB7","7","4 out of 5","2 out of 5","2 out of 5 stars","-7"
"17",3,"George Pickens",DAL,"WR10","14","4 out of 5","4 out of 5","2 out of 5 stars","+7"
"18",3,"Trey McBride",ARI,"TE1","14","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"19",3,"Rashee Rice",KC,"WR11","5","5 out of 5","4 out of 5","2 out of 5 stars","+6"
"20",3,"Brock Bowers",LV,"TE2","13","5 out of 5","2 out of 5","3 out of 5 stars","+2"
"21",3,"De'Von Achane",MIA,"RB8","6","4 out of 5","4 out of 5","3 out of 5 stars","-11"
"22",3,"Chris Olave",NO,"WR12","8","4 out of 5","4 out of 5","3 out of 5 stars","+6"
"23",4,"DeVonta Smith",PHI,"WR13","10","4 out of 5","2 out of 5","4 out of 5 stars","+11"
"24",4,"Omarion Hampton",LAC,"RB9","7","5 out of 5","2 out of 5","3 out of 5 stars","-8"
"25",4,"Saquon Barkley",PHI,"RB10","10","4 out of 5","3 out of 5","4 out of 5 stars","-11"
"26",4,"Josh Allen",BUF,"QB1","7","5 out of 5","2 out of 5","3 out of 5 stars","+1"
""
"27",4,"Kenneth Walker III",KC,"RB11","5","4 out of 5","4 out of 5","3 out of 5 stars","-7"
"28",4,"Garrett Wilson",NYJ,"WR14","13","4 out of 5","4 out of 5","4 out of 5 stars","+9"
"29",4,"Zay Flowers",BAL,"WR15","13","4 out of 5","2 out of 5","4 out of 5 stars","+11"
"30",4,"Tetairoa McMillan",CAR,"WR16","5","4 out of 5","4 out of 5","2 out of 5 stars","+9"
"31",4,"Lamar Jackson",BAL,"QB2","13","4 out of 5","4 out of 5","3 out of 5 stars","+11"
"32",4,"Malik Nabers",NYG,"WR17","8","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"33",4,"Tee Higgins",CIN,"WR18","6","5 out of 5","2 out of 5","4 out of 5 stars","+8"
"34",4,"Ladd McConkey",LAC,"WR19","7","4 out of 5","3 out of 5","2 out of 5 stars","+12"
"35",5,"Derrick Henry",BAL,"RB12","13","5 out of 5","2 out of 5","3 out of 5 stars","-17"
"36",5,"Jaylen Waddle",DEN,"WR20","10","4 out of 5","3 out of 5","2 out of 5 stars","+11"
"37",5,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+15"
"38",5,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+5"
"39",5,"Jeremiyah Love",ARI,"RB13","14","5 out of 5","2 out of 5","2 out of 5 stars","-16"
"40",5,"Emeka Egbuka",TB,"WR21","10","4 out of 5","3 out of 5","4 out of 5 stars","-2"
"41",5,"Breece Hall",NYJ,"RB14","13","4 out of 5","3 out of 5","3 out of 5 stars","-9"
"42",5,"Kyren Williams",LAR,"RB15","11","4 out of 5","2 out of 5","5 out of 5 stars","-12"
"43",5,"Terry McLaurin",WAS,"WR22","7","4 out of 5","2 out of 5","2 out of 5 stars","+10"
"44",5,"Josh Jacobs",GB,"RB16","11","4 out of 5","3 out of 5","4 out of 5 stars","-15"
"45",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+11"
"46",5,"Javonte Williams",DAL,"RB17","14","4 out of 5","3 out of 5","4 out of 5 stars","-13"
"47",5,"Luther Burden III",CHI,"WR23","10","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"48",5,"Davante Adams",LAR,"WR24","11","2 out of 5","4 out of 5","1 out of 5 stars","+2"
"49",5,"Travis Etienne Jr.",NO,"RB18","8","4 out of 5","3 out of 5","3 out of 5 stars","-13"
"50",5,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+10"
"51",5,"Mike Evans",SF,"WR25","8","4 out of 5","3 out of 5","2 out of 5 stars","+10"
"52",5,"Cam Skattebo",NYG,"RB19","8","4 out of 5","4 out of 5","4 out of 5 stars","-17"
"53",6,"Tyler Warren",IND,"TE4","13","5 out of 5","2 out of 5","3 out of 5 stars","-2"
"54",6,"DJ Moore",BUF,"WR26","7","4 out of 5","2 out of 5","4 out of 5 stars","+4"
"55",6,"Jameson Williams",DET,"WR27","6","4 out of 5","4 out of 5","4 out of 5 stars","+2"
"56",6,"Christian Watson",GB,"WR28","11","4 out of 5","4 out of 5","5 out of 5 stars","+11"
"57",6,"Rome Odunze",CHI,"WR29","10","5 out of 5","2 out of 5","3 out of 5 stars","+5"
"58",6,"Jalen Hurts",PHI,"QB6","10","4 out of 5","4 out of 5","5 out of 5 stars","+5"
"59",6,"Bucky Irving",TB,"RB20","10","3 out of 5","4 out of 5","2 out of 5 stars","-15"
"60",6,"Quinshon Judkins",CLE,"RB21","11","4 out of 5","4 out of 5","3 out of 5 stars","-15"
"61",6,"D'Andre Swift",CHI,"RB22","10","3 out of 5","3 out of 5","2 out of 5 stars","-7"
"62",6,"David Montgomery",HOU,"RB23","8","4 out of 5","3 out of 5","4 out of 5 stars","-7"
"63",6,"TreVeyon Henderson",NE,"RB24","11","4 out of 5","4 out of 5","2 out of 5 stars","-14"
"64",6,"Carnell Tate",TEN,"WR30","9","4 out of 5","2 out of 5","3 out of 5 stars","+2"
